municipio;cluster;uf;pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq
abadia de goias;3;uf;1502;26;391;184;850;575;786
abadiania;5;uf;3271;117;902;520;1637;1422;1656
abare;4;uf;339;32;74;55;149;129;142
abatia;4;uf;4;0;2;0;1;2;2
abel figueiredo;4;uf;71;12;17;18;16;35;23
abre campo;3;uf;1029;31;281;171;513;452;446
abreu e lima;3;uf;5814;52;589;268;4623;857;2621
abreulandia;4;uf;1;0;0;0;1;0;1
acailandia;5;uf;5515;285;1494;789;2487;2283;2283
acarape;4;uf;17;0;2;0;14;2;4
acarau;4;uf;15;3;1;4;4;5;5
acari;4;uf;398;24;101;60;193;161;207
acaua;4;uf;81;11;20;13;33;33;45
acegua;4;uf;160;6;24;9;108;33;78
acrelandia;4;uf;247;7;70;22;145;92;104
acreuna;3;uf;1808;76;494;154;1010;648;822
acu;4;uf;122;6;39;16;53;55;47
adrianopolis;4;uf;228;9;66;44;99;110;111
afonso claudio;4;uf;1;0;1;0;0;1;1
afranio;4;uf;173;14;41;30;76;71;87
agrestina;3;uf;1012;57;260;157;463;417;406
agricolandia;4;uf;9;0;3;0;5;3;7
agronomica;3;uf;1402;57;382;109;809;491;609
agua boa;3;uf;1431;43;422;136;802;558;637
agua boa;3;uf;1431;43;422;136;802;558;637
agua branca;4;uf;420;41;107;59;188;166;184
agua branca;4;uf;420;41;107;59;188;166;184
agua clara;3;uf;1838;32;414;139;1224;553;777
agua doce;4;uf;1080;38;294;91;644;385;534
agua fria de goias;4;uf;4;0;4;0;0;4;2
agua preta;4;uf;121;7;36;6;66;42;67
agua santa;4;uf;64;2;17;6;38;23;30
aguas belas;4;uf;444;41;97;54;227;151;186
aguas lindas de goias;5;uf;4994;139;1341;543;2591;1884;2093
aguas mornas;3;uf;3143;77;906;331;1771;1237;1520
aguas vermelhas;4;uf;85;1;23;6;49;29;31
aguiarnopolis;4;uf;661;14;129;66;414;195;288
aimores;4;uf;124;10;46;22;44;68;61
aiquara;4;uf;1;0;1;0;0;1;1
aiuruoca;4;uf;365;27;133;44;159;177;204
alagoinha do piaui;4;uf;20;3;2;2;12;4;11
alagoinhas;5;uf;3802;172;1048;347;2029;1395;1723
alcantil;4;uf;278;17;67;48;133;115;145
alcinopolis;4;uf;99;4;30;13;48;43;47
alcobaca;4;uf;2;0;0;1;1;1;1
alegre;4;uf;32;1;12;6;13;18;11
alegrete;3;uf;1648;35;381;107;1040;488;618
alegrete do piaui;4;uf;154;5;27;22;90;49;84
alem paraiba;3;uf;1554;66;412;150;881;562;790
alexania;5;uf;3578;110;943;397;1906;1340;1931
alfredo chaves;4;uf;26;0;2;1;19;3;15
alfredo vasconcelos;3;uf;982;43;333;118;468;451;450
alfredo wagner;3;uf;2289;70;816;251;1103;1067;1201
algodao de jandaira;4;uf;70;6;18;12;31;30;32
alhandra;3;uf;2179;43;573;224;1202;797;1173
alianca;4;uf;237;20;57;31;112;88;97
alianca do tocantins;3;uf;874;55;233;116;451;349;352
almino afonso;4;uf;10;5;0;3;1;3;3
almirante tamandare do sul;4;uf;790;23;189;44;521;233;319
alpercata;4;uf;730;30;240;103;341;343;345
altamira;3;uf;1087;48;398;90;498;488;435
altinho;4;uf;2;0;0;0;1;0;1
alto alegre do maranhao;4;uf;524;45;111;76;277;187;221
alto araguaia;3;uf;1566;36;310;71;1133;381;780
alto boa vista;4;uf;14;3;2;3;2;5;5
alto garcas;3;uf;2002;45;367;105;1456;472;1021
alto horizonte;4;uf;5;2;1;1;1;2;3
alto paraiso;4;uf;1019;42;245;60;612;305;370
alto paraiso;4;uf;1019;42;245;60;612;305;370
alto parana;3;uf;1226;41;362;119;656;481;546
alto santo;4;uf;407;21;78;42;251;120;164
altos;3;uf;1657;101;330;260;881;590;779
alvorada;3;uf;1130;61;302;170;574;472;422
alvorada do gurgueia;4;uf;163;17;78;6;60;84;46
alvorada do norte;3;uf;1601;81;460;192;826;652;642
alvorada doeste;4;uf;66;6;19;14;25;33;29
amajari;4;uf;268;18;69;23;139;92;89
amapa;4;uf;37;3;5;1;11;6;11
amapa do maranhao;4;uf;1;0;0;0;1;0;1
amaraji;4;uf;7;2;1;0;2;1;5
amaralina;4;uf;3;0;2;0;1;2;1
amarante;4;uf;723;50;191;96;345;287;347
amargosa;4;uf;3;0;2;0;1;2;1
amelia rodrigues;5;uf;5139;79;985;226;3587;1211;2493
amontada;4;uf;35;4;14;7;9;21;9
amparo de sao francisco;4;uf;6;0;0;1;5;1;2
anajas;4;uf;2;0;1;0;0;1;1
anajatuba;4;uf;20;1;1;1;17;2;10
ananindeua;1;uf;25905;174;3258;1165;20163;4423;11418
anapolis;1;uf;13309;217;3078;1504;7892;4582;6356
anapu;4;uf;192;16;35;17;116;52;87
anastacio;3;uf;1294;29;297;164;779;461;560
anaurilandia;4;uf;2;1;0;0;0;0;2
anchieta;3;uf;2014;93;497;186;1169;683;1008
anchieta;3;uf;2014;93;497;186;1169;683;1008
andarai;4;uf;51;3;14;2;22;16;23
andira;4;uf;818;22;187;84;495;271;346
andradas;4;uf;365;13;166;43;133;209;211
andre da rocha;4;uf;4;0;1;1;2;2;3
angical;4;uf;6;0;0;0;5;0;1
angical do piaui;4;uf;180;19;30;48;75;78;82
angicos;3;uf;643;61;182;86;281;268;272
angra dos reis;1;uf;11214;223;2817;944;6946;3761;4922
antas;4;uf;353;23;120;45;148;165;129
antonina;4;uf;1283;6;369;75;810;444;691
antonio cardoso;3;uf;1413;46;239;93;961;332;551
antonio dias;5;uf;3740;112;1204;367;1997;1571;1726
antonio martins;4;uf;15;3;3;1;7;4;8
antonio olinto;4;uf;317;17;92;18;179;110;167
aparecida;5;uf;4481;80;1083;275;2826;1358;2244
aparecida;5;uf;4481;80;1083;275;2826;1358;2244
aparecida de goiania;1;uf;12846;145;2332;1205;8552;3537;5720
aparecida do rio doce;4;uf;299;10;77;33;165;110;138
aparecida do taboado;3;uf;1043;54;299;162;504;461;429
apiaca;4;uf;1;0;0;0;1;0;1
apiuna;5;uf;4166;89;1005;313;2623;1318;1841
apodi;4;uf;323;36;67;63;129;130;145
apucarana;5;uf;6113;81;1802;559;3367;2361;2685
apui;4;uf;1;0;0;0;1;0;1
aquidaba;4;uf;3;0;0;0;3;0;1
aquidauana;4;uf;141;6;40;25;65;65;76
aquiraz;4;uf;762;36;209;98;364;307;369
aracaju;3;uf;2594;30;482;100;1844;582;1110
aracati;3;uf;1921;56;407;154;1228;561;837
araci;4;uf;374;39;98;39;174;137;168
aracruz;3;uf;2329;89;613;263;1244;876;1053
aragarcas;4;uf;573;45;176;72;259;248;236
aragoiania;4;uf;2;0;0;0;2;0;1
araguaiana;4;uf;1;1;0;0;0;0;1
araguaina;5;uf;4347;126;1047;591;2366;1638;1907
araguana;4;uf;176;18;43;20;87;63;87
araguari;5;uf;4125;89;1222;412;2287;1634;2228
araguatins;4;uf;30;3;5;10;8;15;14
aramari;4;uf;43;3;21;3;15;24;13
arambare;4;uf;29;1;3;0;23;3;18
arame;4;uf;4;0;0;0;4;0;2
arantina;4;uf;68;3;28;9;27;37;32
arapiraca;4;uf;1;0;0;0;1;0;1
arapongas;5;uf;4035;83;1109;420;2215;1529;1771
arapora;3;uf;1382;36;337;111;878;448;646
arapoti;4;uf;5;0;5;0;0;5;3
arapua;4;uf;2;0;2;0;0;2;1
araquari;1;uf;10900;184;2404;890;7149;3294;5041
ararangua;5;uf;6216;109;1737;340;3850;2077;2886
arari;4;uf;287;25;60;47;131;107;114
araripina;3;uf;765;98;182;139;273;321;304
araruama;4;uf;1;0;1;0;0;1;1
araruna;4;uf;163;10;52;35;61;87;61
arataca;3;uf;1698;71;408;123;1051;531;934
araucaria;3;uf;3570;59;806;266;2263;1072;1558
araujos;4;uf;483;14;121;52;286;173;204
araxa;3;uf;1503;56;354;143;913;497;703
arcoverde;3;uf;1772;97;311;322;934;633;843
areal;3;uf;2288;37;456;103;1662;559;1245
areia branca;3;uf;1555;77;412;166;777;578;671
areia branca;3;uf;1555;77;412;166;777;578;671
ares;4;uf;381;7;102;21;236;123;199
argirita;4;uf;613;11;185;55;343;240;338
arinos;4;uf;1;0;0;0;1;0;1
ariquemes;5;uf;5645;165;1170;392;3707;1562;2083
aroeiras;4;uf;3;0;1;1;1;2;2
arroio dos ratos;4;uf;905;23;213;92;545;305;369
arroio grande;4;uf;738;13;186;47;478;233;336
aruja;3;uf;4048;74;665;115;2907;780;1927
ascurra;3;uf;1520;24;476;161;804;637;678
assai;4;uf;4;0;0;2;2;2;3
assis brasil;4;uf;25;3;6;0;16;6;5
assu;4;uf;997;40;208;71;595;279;451
assuncao;4;uf;58;4;10;3;28;13;21
assuncao do piaui;4;uf;8;0;8;0;0;8;2
atalaia;3;uf;1759;83;432;282;838;714;778
atalaia;3;uf;1759;83;432;282;838;714;778
ataleia;4;uf;1;0;1;0;0;1;1
atibaia;5;uf;9264;206;2041;460;6149;2501;4363
atilio vivacqua;4;uf;1011;35;271;108;545;379;540
augusto correa;4;uf;7;0;2;1;4;3;4
augusto de lima;3;uf;1050;45;282;159;533;441;437
augusto severo;4;uf;32;2;14;6;10;20;15
aurelino leal;4;uf;735;29;185;42;454;227;361
aurora;4;uf;24;0;0;0;24;0;1
aurora do para;4;uf;448;23;123;55;223;178;186
axixa;4;uf;45;6;7;10;18;17;22
bacabal;3;uf;1428;95;315;220;708;535;648
bacabeira;3;uf;3609;152;411;373;2509;784;1433
bady bassitt;4;uf;1126;25;293;68;697;361;531
baependi;4;uf;644;27;243;59;301;302;341
bage;4;uf;1677;19;337;99;1184;436;904
baia formosa;4;uf;71;1;17;8;42;25;35
baianopolis;4;uf;16;1;3;0;10;3;8
baixa grande;4;uf;5;0;1;2;2;3;3
baixio;4;uf;79;5;13;12;45;25;30
baixo guandu;4;uf;551;31;149;141;211;290;249
balneario barra do sul;4;uf;22;0;12;1;9;13;7
balneario camboriu;1;uf;12049;131;3119;592;7766;3711;5937
balneario picarras;4;uf;239;5;86;18;119;104;119
balsa nova;5;uf;5148;57;973;225;3735;1198;2373
balsas;3;uf;2211;95;631;255;1094;886;980
banabuiu;4;uf;1;0;0;0;1;0;1
bandeira;4;uf;1;0;0;1;0;1;1
bandeira do sul;4;uf;358;14;111;45;177;156;169
bandeirantes;3;uf;3600;103;863;360;2152;1223;1536
bandeirantes;3;uf;3600;103;863;360;2152;1223;1536
barao;4;uf;110;1;32;7;61;39;49
barao de cocais;4;uf;715;26;198;84;394;282;316
barao de cotegipe;4;uf;232;2;64;18;136;82;122
barao de grajau;4;uf;674;28;175;175;252;350;353
barao do triunfo;4;uf;4;0;0;0;4;0;2
barbacena;5;uf;3996;82;1303;318;2189;1621;2276
barbosa ferraz;4;uf;3;0;0;1;2;1;1
barra;4;uf;6;0;0;0;6;0;2
barra de santa rosa;4;uf;142;15;45;30;46;75;56
barra de santana;4;uf;327;17;103;34;156;137;156
barra de sao miguel;4;uf;4;0;0;0;3;0;3
barra do choca;4;uf;2;0;0;0;2;0;1
barra do corda;4;uf;147;15;24;19;78;43;74
barra do garcas;5;uf;4032;91;1208;374;2228;1582;1833
barra do mendes;4;uf;3;0;3;0;0;3;1
barra do pirai;5;uf;4446;100;876;328;2988;1204;2127
barra do quarai;4;uf;109;1;39;15;49;54;52
barra do ribeiro;3;uf;1889;56;336;153;1306;489;784
barra do rocha;4;uf;119;9;37;17;52;54;49
barra do sul;4;uf;6;0;1;0;5;1;3
barra do turvo;1;uf;12519;127;1989;371;9846;2360;8695
barra funda;4;uf;7;0;2;0;5;2;4
barra mansa;1;uf;11961;145;1974;451;8878;2425;6080
barra velha;5;uf;4748;82;1064;372;3105;1436;2288
barracao;3;uf;1408;32;343;133;838;476;591
barracao;3;uf;1408;32;343;133;838;476;591
barreiras;5;uf;5653;244;1479;334;3354;1813;2046
barreirinhas;4;uf;11;1;3;3;2;6;3
barro;4;uf;829;45;179;99;466;278;352
barro alto;4;uf;433;25;118;74;203;192;186
barro duro;4;uf;272;26;87;49;98;136;111
barro preto;4;uf;8;0;1;4;3;5;3
barrolandia;4;uf;686;33;156;100;367;256;245
barueri;4;uf;2;0;0;0;1;0;1
bataguassu;3;uf;2385;82;570;189;1462;759;1092
batalha;4;uf;1;0;0;0;1;0;1
bayeux;5;uf;7562;35;1159;347;5619;1506;3133
beberibe;4;uf;168;16;50;17;70;67;88
bela vista;4;uf;208;13;75;35;79;110;95
bela vista de minas;3;uf;2890;62;930;366;1489;1296;1408
bela vista do maranhao;4;uf;303;24;58;38;151;96;139
bela vista do toldo;4;uf;1;0;1;0;0;1;1
belem;3;uf;5286;39;358;124;4584;482;2477
belem;3;uf;5286;39;358;124;4584;482;2477
belem de maria;4;uf;1;0;1;0;0;1;1
belem de sao francisco;3;uf;950;48;277;83;507;360;436
belford roxo;4;uf;2536;13;249;28;2080;277;1110
belmonte;4;uf;2;0;0;0;2;0;1
belo horizonte;5;uf;7846;62;1050;538;5980;1588;3517
belo jardim;3;uf;1625;81;381;210;833;591;608
belo oriente;3;uf;1710;49;386;120;1117;506;793
belterra;4;uf;206;19;62;49;53;111;83
benevides;3;uf;3785;77;773;308;2417;1081;1681
bento goncalves;4;uf;1169;12;324;61;701;385;501
bertolinia;4;uf;55;13;8;14;19;22;23
beruri;4;uf;1;0;1;0;0;1;1
betim;2;uf;39527;329;6840;1718;29551;8558;17601
bezerros;3;uf;2474;103;586;263;1353;849;1144
bicas;4;uf;911;23;300;96;468;396;441
biguacu;1;uf;11083;120;3071;824;6664;3895;5762
blumenau;1;uf;16670;122;3296;755;12031;4051;7405
boa esperanca;4;uf;2;0;1;0;1;1;2
boa esperanca;4;uf;2;0;1;0;1;1;2
boa nova;4;uf;527;28;123;22;334;145;258
boa viagem;3;uf;907;46;284;154;378;438;413
boa vista;5;uf;7019;161;2091;560;3837;2651;2805
boa vista;5;uf;7019;161;2091;560;3837;2651;2805
boa vista das missoes;4;uf;755;33;190;47;476;237;328
boa vista do burica;4;uf;136;7;60;14;53;74;56
boa vista do gurupi;4;uf;96;8;23;19;44;42;44
boa vista do tupim;4;uf;230;18;78;22;100;100;82
boca da mata;4;uf;1;0;1;0;0;1;1
boca do acre;4;uf;30;3;12;2;10;14;12
bocaina do sul;3;uf;1505;53;472;163;789;635;767
bocaiuva;3;uf;2792;124;784;363;1455;1147;1242
bocaiuva do sul;4;uf;1070;24;315;179;499;494;493
bodoco;4;uf;26;3;4;9;10;13;12
bom despacho;3;uf;2114;73;518;208;1287;726;891
bom jardim;4;uf;355;30;81;60;167;141;162
bom jardim de goias;4;uf;320;22;86;53;153;139;127
bom jardim de minas;4;uf;395;31;159;43;158;202;194
bom jesus;3;uf;1233;67;374;131;613;505;541
bom jesus;3;uf;1233;67;374;131;613;505;541
bom jesus;3;uf;1233;67;374;131;613;505;541
bom jesus;3;uf;1233;67;374;131;613;505;541
bom jesus da penha;4;uf;2;0;0;0;2;0;1
bom jesus das selvas;3;uf;535;72;186;90;138;276;169
bom jesus de goias;3;uf;860;56;232;134;411;366;378
bom jesus do amparo;3;uf;2832;75;522;357;1841;879;1248
bom jesus do araguaia;4;uf;80;15;17;7;35;24;30
bom jesus do galho;4;uf;2;0;0;0;2;0;1
bom jesus do itabapoana;4;uf;4;0;2;0;2;2;2
bom jesus do sul;4;uf;193;10;48;18;112;66;81
bom jesus do tocantins;4;uf;118;9;36;10;50;46;44
bom lugar;4;uf;6;0;0;3;3;3;3
bom principio;4;uf;2;0;0;0;2;0;1
bom principio do piaui;4;uf;18;0;8;4;5;12;8
bom progresso;4;uf;264;11;86;33;127;119;85
bom retiro;3;uf;1489;55;508;188;688;696;664
bom retiro do sul;4;uf;228;2;54;11;155;65;103
bom sucesso;4;uf;231;5;82;46;93;128;93
bom sucesso do sul;4;uf;2;0;1;0;1;1;1
bonfim;4;uf;278;25;101;36;96;137;95
boninal;4;uf;20;1;7;1;11;8;8
bonito;4;uf;151;4;35;34;73;69;61
bonopolis;4;uf;3;1;2;0;0;2;1
boqueirao do piaui;4;uf;5;1;0;3;0;3;1
bossoroca;4;uf;20;0;3;4;13;7;8
botelhos;4;uf;310;8;128;35;132;163;149
bozano;4;uf;568;16;123;46;374;169;254
braco do trombudo;4;uf;2;0;0;0;2;0;1
braganca;4;uf;338;25;84;61;144;145;150
braganca paulista;3;uf;2705;45;628;140;1789;768;1375
branquinha;4;uf;506;45;145;100;186;245;211
brasil novo;4;uf;219;23;56;30;102;86;91
brasilandia;4;uf;309;5;137;27;132;164;142
brasilandia do tocantins;4;uf;529;38;110;48;320;158;221
brasileia;4;uf;87;3;36;10;34;46;33
brasileira;4;uf;434;21;106;41;254;147;212
brasilia;2;uf;36378;621;10589;2646;20608;13235;14992
brasnorte;4;uf;3;0;0;0;3;0;1
brejao;4;uf;6;1;2;1;2;3;3
brejetuba;4;uf;305;10;74;52;153;126;160
brejo grande do araguaia;4;uf;47;6;11;5;24;16;23
brejo santo;3;uf;1034;66;224;149;534;373;390
brejoes;4;uf;858;28;157;36;610;193;362
brotas de macaubas;4;uf;2;0;1;0;1;1;1
brumadinho;3;uf;3346;80;785;207;2166;992;1827
brunopolis;4;uf;609;36;196;61;304;257;282
brusque;4;uf;4;0;1;0;3;1;2
buenopolis;4;uf;608;24;177;111;276;288;269
buenos aires;4;uf;9;1;1;3;4;4;5
buerarema;4;uf;723;31;170;86;401;256;313
buique;4;uf;12;1;1;3;7;4;5
bujari;4;uf;641;27;183;94;306;277;223
buriti alegre;4;uf;1;0;0;0;1;0;1
buriti bravo;4;uf;1;0;0;0;1;0;1
buriti dos lopes;4;uf;803;46;217;117;381;334;409
buriticupu;4;uf;243;33;41;47;101;88;129
buritizeiro;3;uf;1542;91;582;219;606;801;660
butia;4;uf;1034;38;212;124;635;336;455
caapora;3;uf;1680;30;384;132;1069;516;956
caarapo;3;uf;1499;30;395;115;918;510;657
cabeceira grande;4;uf;1;0;1;0;0;1;1
cabeceiras;4;uf;1;0;1;0;0;1;1
cabedelo;5;uf;6420;67;1262;473;4161;1735;2941
cabo de santo agostinho;5;uf;7575;189;1424;577;4857;2001;3605
cabo verde;4;uf;399;14;149;63;163;212;194
cabrobo;3;uf;919;44;265;130;431;395;390
cacador;4;uf;1;0;1;0;0;1;1
cacapava;5;uf;5596;77;1003;203;3908;1206;2441
cacapava do sul;3;uf;2019;51;459;158;1305;617;1174
cacaulandia;4;uf;95;2;21;5;63;26;42
cacequi;4;uf;14;1;0;2;11;2;7
caceres;5;uf;5584;181;1454;674;3130;2128;2867
cachoeira;4;uf;370;17;70;41;229;111;170
cachoeira alta;3;uf;1151;60;286;111;664;397;504
cachoeira de minas;4;uf;4;0;0;4;0;4;1
cachoeira de pajeu;3;uf;1094;67;195;87;711;282;512
cachoeira do piria;4;uf;329;18;82;51;158;133;159
cachoeira do sul;3;uf;1582;90;402;147;919;549;689
cachoeira dos indios;4;uf;197;16;38;31;102;69;101
cachoeira dourada;4;uf;2;0;0;0;2;0;1
cachoeira paulista;3;uf;1838;21;368;77;1282;445;975
cachoeirinha;3;uf;1000;64;222;92;567;314;470
cachoeirinha;3;uf;1000;64;222;92;567;314;470
cachoeirinha;3;uf;1000;64;222;92;567;314;470
cachoeiro de itapemirim;3;uf;1537;38;460;251;686;711;698
cacimbinhas;4;uf;317;31;60;58;137;118;137
cacoal;5;uf;5260;65;1683;509;2833;2192;2411
cacu;4;uf;47;2;9;2;33;11;18
caem;4;uf;76;6;19;6;42;25;33
caetanopolis;3;uf;1738;43;452;142;1048;594;826
caete;5;uf;4431;109;951;646;2649;1597;1948
caetes;3;uf;697;62;158;124;290;282;282
caetite;4;uf;1;0;1;0;0;1;1
cafelandia;4;uf;4;0;1;0;3;1;2
caiaponia;4;uf;689;45;189;80;360;269;336
caibate;4;uf;268;7;98;13;150;111;56
caibi;4;uf;295;21;67;38;160;105;145
caicara do norte;4;uf;1;0;0;0;1;0;1
caicara do rio do vento;4;uf;297;21;86;33;138;119;134
caico;4;uf;1021;15;304;189;451;493;466
cajati;5;uf;9232;149;1598;360;6906;1958;6016
cajazeiras;3;uf;1190;68;324;193;519;517;592
cajueiro;4;uf;4;0;3;0;1;3;1
cajueiro da praia;4;uf;10;2;1;1;4;2;6
calcado;4;uf;75;6;21;8;36;29;36
calcoene;4;uf;116;14;31;21;42;52;40
caldas;3;uf;1147;49;348;149;568;497;617
caldas brandao;4;uf;498;14;92;66;289;158;238
caldeirao grande;4;uf;90;6;22;11;45;33;27
caldeirao grande do piaui;4;uf;1;0;0;0;1;0;1
california;4;uf;711;34;159;79;407;238;312
calumbi;4;uf;157;14;60;21;57;81;68
camacan;3;uf;1360;55;293;115;864;408;682
camacari;4;uf;2;0;1;0;1;1;2
camalau;4;uf;2;2;0;0;0;0;1
camamu;4;uf;26;3;6;2;13;8;15
camanducaia;3;uf;3081;43;829;205;1895;1034;1811
camapua;4;uf;752;33;237;90;371;327;351
camaqua;3;uf;2044;54;425;186;1307;611;1036
camaragibe;4;uf;2;0;0;0;2;0;2
cambara;4;uf;913;23;237;103;529;340;388
cambe;3;uf;4180;54;717;248;2997;965;1635
cambira;4;uf;465;15;146;53;238;199;212
camboriu;4;uf;42;0;20;2;19;22;22
cambui;5;uf;4558;76;1126;294;2901;1420;2770
cambuquira;4;uf;791;41;217;73;433;290;378
camocim;4;uf;5;0;2;0;3;2;1
campanario;3;uf;946;51;247;118;506;365;420
campanha;5;uf;3601;93;1229;297;1907;1526;1898
campestre;4;uf;452;8;137;50;244;187;209
campestre da serra;4;uf;871;23;230;71;532;301;477
campestre do maranhao;4;uf;476;27;111;72;231;183;215
campina da lagoa;4;uf;6;1;1;1;2;2;4
campina grande;5;uf;6197;160;1452;612;3671;2064;3068
campina grande do sul;1;uf;14340;156;3598;723;9530;4321;8655
campinas;4;uf;1;0;0;0;1;0;1
campinorte;3;uf;1791;70;383;213;1065;596;670
campo alegre;4;uf;295;21;66;37;152;103;112
campo alegre de goias;3;uf;1847;83;418;184;1122;602;717
campo bom;4;uf;4;0;2;0;2;2;1
campo bonito;4;uf;92;3;23;11;51;34;37
campo do tenente;4;uf;916;35;225;102;535;327;476
campo florido;4;uf;750;28;219;92;386;311;370
campo grande;1;uf;10013;296;2222;1098;5989;3320;4231
campo grande;1;uf;10013;296;2222;1098;5989;3320;4231
campo grande do piaui;4;uf;210;18;42;46;94;88;98
campo largo;5;uf;7744;105;1470;401;5345;1871;3392
campo maior;3;uf;1725;82;345;239;996;584;941
campo mourao;5;uf;4294;101;1044;505;2471;1549;1949
campo novo;4;uf;229;17;85;23;104;108;92
campo novo do parecis;4;uf;37;1;6;2;26;8;13
campo redondo;4;uf;367;23;88;54;187;142;162
campo verde;3;uf;2293;56;443;221;1529;664;1062
campos altos;3;uf;2637;83;796;219;1517;1015;1357
campos de julio;4;uf;66;5;16;11;32;27;30
campos dos goytacazes;1;uf;19919;631;5084;1337;12049;6421;8855
campos novos;5;uf;3554;120;965;316;2032;1281;1531
campos novos paulista;4;uf;146;6;18;8;109;26;74
canabrava do norte;4;uf;23;1;4;2;15;6;9
cananeia;4;uf;2;0;0;0;2;0;1
canapi;4;uf;446;13;101;67;245;168;190
canapolis;4;uf;706;24;179;65;425;244;400
canarana;4;uf;344;15;107;45;170;152;191
canas;4;uf;929;19;170;59;637;229;458
canavieira;4;uf;1;0;0;0;1;0;1
candeal;4;uf;97;14;35;11;33;46;33
candeias;5;uf;5324;103;1388;227;3349;1615;2499
candeias do jamari;3;uf;2184;85;571;184;1249;755;888
candido sales;4;uf;1043;47;192;69;693;261;438
candiota;4;uf;289;6;50;21;203;71;139
candoi;3;uf;2160;103;628;244;1131;872;962
canelinha;4;uf;6;0;2;0;4;2;3
canguaretama;4;uf;757;37;156;82;448;238;381
cangucu;3;uf;1299;56;315;104;779;419;652
caninde;3;uf;1376;62;363;204;683;567;584
canoas;1;uf;23395;104;2615;504;19617;3119;10576
canoinhas;4;uf;1012;13;309;86;565;395;458
canta;4;uf;859;43;304;86;343;390;317
cantagalo;4;uf;823;28;243;99;428;342;397
canudos;4;uf;534;44;157;47;269;204;213
canutama;4;uf;192;16;73;33;58;106;73
capanema;3;uf;1752;84;428;252;888;680;799
capanema;3;uf;1752;84;428;252;888;680;799
capao alto;3;uf;1822;54;443;151;1136;594;931
capao bonito do sul;4;uf;207;5;55;27;118;82;98
capao do leao;3;uf;2123;50;502;170;1317;672;1026
capela;3;uf;1211;45;223;95;791;318;466
capim;4;uf;4;0;1;1;1;2;3
