municipio;cluster;uf;pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq
capim branco;4;uf;97;0;26;14;55;40;52
capim grosso;3;uf;1263;49;261;154;710;415;489
capinzal do norte;4;uf;196;27;48;17;95;65;82
capitao de campos;4;uf;303;18;55;33;182;88;130
capitao leonidas marques;4;uf;995;34;215;69;640;284;409
capivari de baixo;3;uf;2016;18;565;146;1234;711;961
capivari do sul;4;uf;3;0;0;1;2;1;1
capixaba;4;uf;418;20;124;47;211;171;151
capoeiras;4;uf;5;0;1;1;3;2;3
caracarai;4;uf;398;43;88;47;141;135;117
caracol;4;uf;52;4;19;10;17;29;25
carai;3;uf;811;50;303;100;329;403;315
carandai;3;uf;2834;103;852;263;1522;1115;1306
carapebus;4;uf;477;21;100;38;303;138;221
caratinga;5;uf;5587;73;1630;609;3093;2239;2726
caraubas do piaui;4;uf;117;4;52;8;45;60;56
caravelas;3;uf;1318;64;286;179;741;465;515
carazinho;3;uf;3225;47;642;180;2296;822;1399
cardoso moreira;4;uf;793;37;282;61;402;343;415
careacu;3;uf;2204;52;738;140;1203;878;1199
careiro;4;uf;251;23;73;23;100;96;95
careiro da varzea;4;uf;256;7;54;15;165;69;97
cariacica;2;uf;28936;182;4060;2257;20983;6317;13508
caridade;4;uf;993;29;270;121;538;391;436
caridade do piaui;4;uf;1;0;0;0;1;0;1
carira;4;uf;271;30;66;64;68;130;117
cariri do tocantins;3;uf;986;52;252;138;512;390;441
carlos barbosa;4;uf;178;3;62;13;95;75;85
carmo;4;uf;110;1;20;7;79;27;44
carmo da cachoeira;5;uf;4564;53;1122;171;3131;1293;2919
carmo de minas;4;uf;343;8;126;47;158;173;146
carmopolis;4;uf;574;17;122;51;338;173;226
carmopolis de minas;3;uf;3163;68;750;168;2098;918;1738
caroebe;4;uf;2;1;1;0;0;1;1
carolina;4;uf;292;46;66;38;106;104;121
carpina;4;uf;773;27;166;81;453;247;323
caruaru;1;uf;10801;296;2226;869;6806;3095;4804
carvalhos;4;uf;69;1;33;5;27;38;45
casa nova;4;uf;3;0;1;0;2;1;2
cascalho rico;4;uf;1;0;0;0;1;0;1
cascavel;1;uf;17310;324;4524;1461;10446;5985;7819
cascavel;1;uf;17310;324;4524;1461;10446;5985;7819
caseiros;4;uf;532;21;137;33;328;170;260
casimiro de abreu;5;uf;5166;149;816;337;3732;1153;2284
cassilandia;4;uf;693;22;181;105;358;286;286
castanhal;5;uf;6211;127;1010;572;4171;1582;2698
castelandia;4;uf;41;1;17;2;21;19;22
castelo;4;uf;4;0;1;1;2;2;1
castilho;4;uf;21;0;6;1;14;7;14
castro alves;4;uf;10;0;0;0;10;0;5
cataguases;4;uf;2;0;0;0;2;0;1
catalao;5;uf;4682;111;854;362;3251;1216;1658
catanduvas;4;uf;1234;30;358;96;719;454;601
catanduvas;4;uf;1234;30;358;96;719;454;601
catingueira;4;uf;189;27;47;43;58;90;98
catolandia;4;uf;25;4;7;4;9;11;8
catu;3;uf;1964;51;487;178;1140;665;878
catuji;3;uf;1130;85;351;151;509;502;527
caucaia;1;uf;15111;382;3265;2165;8296;5430;6793
caxambu;4;uf;1430;17;371;94;906;465;675
caxias;5;uf;3165;181;704;387;1731;1091;1346
caxias do sul;1;uf;15710;89;2046;484;12754;2530;7555
caxingo;4;uf;65;1;24;7;32;31;28
ceara-mirim;3;uf;1760;75;399;270;897;669;790
cedro de sao joao;4;uf;434;20;107;31;249;138;189
celso ramos;4;uf;5;0;0;2;0;2;3
centralina;3;uf;1126;37;276;119;681;395;591
cerejeiras;4;uf;85;1;35;13;33;48;37
ceres;4;uf;12;1;2;4;5;6;4
cerrito;4;uf;206;6;45;22;131;67;103
cerro azul;4;uf;11;0;3;1;7;4;6
cerro largo;4;uf;167;8;50;32;73;82;79
ceu azul;3;uf;3521;105;747;342;2211;1089;1381
cezarina;4;uf;968;18;295;114;517;409;457
cha grande;4;uf;1;0;0;0;1;0;1
chapadao do sul;4;uf;285;18;92;63;103;155;126
chapadinha;4;uf;73;14;14;11;28;25;31
chapeco;3;uf;3731;59;816;245;2531;1061;1696
chiador;4;uf;8;0;2;0;6;2;4
chopinzinho;4;uf;639;33;142;42;388;184;261
chorozinho;3;uf;2897;69;480;285;1922;765;1100
chorrocho;4;uf;471;56;116;82;195;198;183
chui;4;uf;134;4;36;4;87;40;64
chupinguaia;4;uf;15;1;5;0;9;5;7
cianorte;4;uf;32;1;12;6;12;18;15
cicero dantas;4;uf;614;48;160;82;264;242;239
cidade ocidental;4;uf;51;1;13;2;29;15;26
cidelandia;4;uf;241;14;63;22;126;85;109
cipo;4;uf;226;15;74;28;94;102;87
ciriaco;4;uf;279;18;53;36;167;89;127
claro dos pocoes;4;uf;594;29;231;116;213;347;248
claudia;4;uf;252;7;51;14;170;65;102
cocal;4;uf;108;6;30;14;54;44;56
cocal de telha;4;uf;284;29;44;38;156;82;158
cocalzinho de goias;3;uf;1883;126;593;324;730;917;769
codo;3;uf;869;65;229;86;460;315;363
colatina;5;uf;3102;115;815;596;1447;1411;1447
colinas;4;uf;33;3;7;4;17;11;18
colinas;4;uf;33;3;7;4;17;11;18
colinas do tocantins;3;uf;1442;91;340;181;766;521;612
colombo;5;uf;7470;131;1841;761;4240;2602;3336
colonia do gurgueia;4;uf;60;5;13;1;37;14;31
colonia leopoldina;4;uf;134;22;23;38;48;61;52
colorado;4;uf;47;0;13;2;32;15;21
colorado do oeste;4;uf;206;4;89;23;84;112;96
comendador gomes;3;uf;1190;47;243;79;797;322;479
comendador levy gasparian;4;uf;1258;18;238;41;940;279;727
comodoro;3;uf;1463;71;348;127;883;475;634
conceicao da barra;3;uf;1893;88;546;243;922;789;793
conceicao da feira;4;uf;600;20;151;34;370;185;252
conceicao das alagoas;4;uf;49;1;16;8;23;24;27
conceicao de macabu;4;uf;256;15;53;24;149;77;115
conceicao do almeida;3;uf;1190;59;324;124;637;448;536
conceicao do castelo;4;uf;979;23;274;167;484;441;446
conceicao do coite;4;uf;2;0;0;0;2;0;1
conceicao do jacuipe;3;uf;1760;64;407;142;1057;549;808
conceicao do para;4;uf;88;3;16;12;54;28;43
conceicao do rio verde;4;uf;790;19;236;74;446;310;378
concordia;3;uf;1632;42;442;188;937;630;814
condado;4;uf;247;14;56;36;127;92;123
conde;4;uf;838;22;208;89;476;297;455
condor;4;uf;363;6;88;18;242;106;148
congonhal;4;uf;745;29;224;118;355;342;329
congonhas;5;uf;6043;164;1467;487;3754;1954;2485
conquista doeste;4;uf;466;26;144;49;236;193;181
conselheiro lafaiete;5;uf;5690;150;1525;535;3304;2060;2552
conselheiro mairinck;4;uf;266;17;95;29;113;124;121
constantina;4;uf;19;0;7;1;10;8;12
contagem;1;uf;21267;170;3362;1313;15747;4675;9672
contenda;4;uf;843;33;239;101;423;340;420
coqueiro seco;4;uf;1;0;0;0;1;0;1
coracao de jesus;4;uf;8;0;2;1;5;3;6
coracao de maria;4;uf;66;9;20;5;30;25;30
corbelia;3;uf;1611;48;398;124;996;522;690
cordilheira alta;4;uf;1244;32;323;92;771;415;552
coreau;4;uf;238;23;40;30;133;70;82
corguinho;4;uf;3;0;1;2;0;3;2
corinto;3;uf;2079;120;599;296;993;895;886
cornelio procopio;3;uf;1629;32;505;150;887;655;793
coromandel;4;uf;7;0;0;0;7;0;1
coronel barros;4;uf;636;12;101;35;481;136;289
coronel bicaco;4;uf;312;13;104;34;156;138;133
coronel fabriciano;4;uf;508;29;168;59;244;227;222
coronel joao sa;4;uf;12;2;4;1;4;5;7
coronel jose dias;4;uf;1;1;0;0;0;0;1
coronel vivida;4;uf;1022;15;264;83;623;347;448
corrego danta;3;uf;2134;76;597;235;1202;832;1092
correia pinto;3;uf;1786;56;424;187;1050;611;905
corrente;4;uf;130;24;56;21;26;77;37
correntes;4;uf;78;12;15;12;27;27;38
correntina;3;uf;752;80;197;72;371;269;169
corumba;3;uf;1418;42;356;138;842;494;664
corumba de goias;4;uf;371;13;116;84;145;200;173
corupa;3;uf;1550;35;531;207;733;738;764
costa rica;4;uf;159;17;38;30;73;68;74
cotegipe;4;uf;4;0;0;0;4;0;2
cotia;4;uf;2;0;1;0;1;1;1
coxim;3;uf;2171;55;545;227;1277;772;898
criciuma;4;uf;693;17;207;28;419;235;385
crisolita;4;uf;1;0;0;0;1;0;1
crisopolis;4;uf;12;2;3;3;3;6;5
cristal;4;uf;1092;34;217;108;711;325;518
cristalandia do piaui;4;uf;60;11;27;4;17;31;21
cristalina;5;uf;4845;250;1306;643;2407;1949;2095
cristiano otoni;3;uf;1488;46;438;121;825;559;739
cristinapolis;4;uf;787;35;151;101;443;252;369
cristino castro;4;uf;265;21;81;24;127;105;89
cristopolis;3;uf;977;65;289;71;492;360;334
crixas do tocantins;4;uf;310;16;79;50;158;129;115
croata;4;uf;137;7;33;13;76;46;61
cruz alta;3;uf;2703;52;508;144;1962;652;1150
cruz das almas;3;uf;1168;57;259;94;694;353;502
cruz do espirito santo;4;uf;699;35;200;82;339;282;346
cruzeiro;4;uf;1011;13;151;43;765;194;530
cruzeiro do oeste;4;uf;22;3;6;9;4;15;9
cruzeiro do sul;4;uf;5;0;0;4;1;4;2
cruzilia;4;uf;10;0;5;0;5;5;3
cuiaba;5;uf;4957;109;880;475;3407;1355;2375
cuite;4;uf;198;42;61;36;51;97;84
cujubim;4;uf;87;1;20;4;56;24;30
cumari;4;uf;718;18;107;57;524;164;294
cunha;4;uf;2;0;1;1;0;2;2
cunha pora;4;uf;1071;32;276;139;587;415;528
cupira;4;uf;296;39;67;34;124;101;131
curitiba;2;uf;53273;581;10382;2872;36629;13254;23714
curitibanos;3;uf;1784;62;564;166;946;730;860
currais novos;3;uf;1135;44;309;190;531;499;537
curral de dentro;4;uf;186;9;54;26;91;80;100
curvelo;5;uf;6047;269;1584;827;3184;2411;2662
custodia;3;uf;765;59;147;163;355;310;322
darcinopolis;4;uf;634;33;124;54;393;178;259
dario meira;4;uf;1;0;0;0;1;0;1
davinopolis;4;uf;34;3;16;5;8;21;10
delfim moreira;4;uf;33;0;12;6;15;18;18
delmiro gouveia;4;uf;728;29;192;110;330;302;264
delta;4;uf;822;13;225;46;511;271;431
demerval lobao;4;uf;748;43;187;99;369;286;369
deodapolis;4;uf;3;0;1;1;1;2;1
descanso;3;uf;773;68;204;129;354;333;295
diamante do sul;4;uf;6;0;2;0;4;2;3
diamantino;3;uf;3396;135;774;262;2155;1036;1719
dilermando de aguiar;4;uf;225;4;60;15;143;75;114
dionisio cerqueira;4;uf;338;8;66;42;211;108;168
divino;4;uf;497;39;137;70;226;207;243
divinopolis;4;uf;3;0;0;0;3;0;2
divisa alegre;4;uf;499;36;114;45;276;159;230
dois irmaos;3;uf;2132;25;575;167;1276;742;1041
dois irmaos do buriti;4;uf;741;20;137;120;448;257;297
dois irmaos do tocantins;4;uf;2;0;1;0;1;1;1
dois lajeados;4;uf;1;0;0;0;1;0;1
dois riachos;4;uf;258;21;56;56;105;112;98
dom aquino;4;uf;447;22;124;41;253;165;216
dom cavati;4;uf;526;28;158;95;230;253;213
dom eliseu;3;uf;1924;96;460;270;965;730;828
dom expedito lopes;4;uf;683;46;138;100;354;238;319
dom macedo costa;4;uf;19;1;2;1;14;3;11
dom pedrito;4;uf;798;17;163;41;568;204;390
dom pedro;4;uf;69;9;16;5;35;21;31
dom pedro de alcantara;4;uf;546;11;90;29;401;119;267
domingos martins;5;uf;4861;83;1295;604;2698;1899;2373
dores do rio preto;4;uf;3;1;1;0;1;1;2
douradina;4;uf;621;24;140;69;345;209;243
dourados;5;uf;6132;98;1591;654;3604;2245;2646
duere;4;uf;70;5;11;10;41;21;31
duque de caxias;2;uf;37859;407;6388;1273;28066;7661;17531
eldorado;4;uf;985;32;228;87;594;315;465
eldorado do carajas;4;uf;89;8;16;12;46;28;34
eldorado do sul;5;uf;6170;98;988;444;4492;1432;2627
eldorado dos carajas;4;uf;232;10;65;23;103;88;73
elesbao veloso;4;uf;579;45;134;99;264;233;256
eliseu martins;4;uf;15;6;3;1;5;4;7
emas;4;uf;2;0;0;0;2;0;1
embu;5;uf;5795;118;968;430;3889;1398;2638
embu das artes;4;uf;900;13;317;56;459;373;393
encruzilhada;4;uf;1180;41;206;59;830;265;497
encruzilhada do sul;4;uf;30;0;4;1;25;5;12
engenheiro caldas;3;uf;1099;71;357;178;467;535;523
engenheiro navarro;4;uf;721;44;274;103;261;377;283
entre ijuis;4;uf;947;28;245;64;606;309;433
entre rios;3;uf;1219;68;353;127;614;480;535
entre-ijuis;4;uf;104;4;35;9;53;44;46
epitaciolandia;4;uf;254;11;85;26;119;111;89
erebango;4;uf;4;0;1;0;3;1;2
erechim;3;uf;4620;50;916;291;3182;1207;2124
ermo;4;uf;2;0;1;0;1;1;1
erval velho;4;uf;958;26;259;59;601;318;453
escada;3;uf;1368;68;256;117;803;373;688
esmeraldas;3;uf;3313;79;891;284;1918;1175;1590
esperanca;4;uf;416;21;80;73;221;153;203
esplanada;3;uf;845;62;242;104;399;346;375
estancia;3;uf;3110;93;625;258;1940;883;1394
estancia velha;4;uf;1942;16;330;66;1490;396;884
esteio;3;uf;4811;42;699;146;3833;845;2300
estiva;3;uf;3126;44;910;195;1904;1105;1824
estreito;4;uf;759;47;200;98;359;298;334
estrela;3;uf;2457;49;553;165;1609;718;1176
estrela de alagoas;4;uf;256;19;82;46;86;128;112
estrela do norte;4;uf;718;50;155;130;357;285;238
estrela do sul;4;uf;60;15;9;13;23;22;21
euclides da cunha;4;uf;509;46;136;50;253;186;219
eugenopolis;4;uf;595;16;249;67;248;316;323
eunapolis;5;uf;8029;151;1722;622;5204;2344;3310
eusebio;3;uf;1866;28;365;171;1179;536;879
ewbank da camara;4;uf;914;22;260;51;571;311;458
extrema;3;uf;3813;76;920;251;2413;1171;2148
extremoz;4;uf;923;26;212;149;485;361;404
farias brito;4;uf;32;9;3;7;11;10;10
farol;4;uf;283;19;84;42;127;126;126
fatima;4;uf;278;17;64;39;145;103;111
faxinal dos guedes;3;uf;1212;55;333;139;652;472;532
fazenda rio grande;5;uf;4849;76;1089;363;3069;1452;2097
fazenda vilanova;3;uf;1282;42;283;89;845;372;568
feira de santana;2;uf;27427;466;5075;1946;18166;7021;12533
felipe guerra;4;uf;158;15;41;23;68;64;75
felixlandia;3;uf;1293;93;401;236;530;637;567
fernandes pinheiro;4;uf;522;15;146;70;277;216;221
fernando pedroza;4;uf;180;16;47;16;92;63;94
ferreira gomes;4;uf;271;11;75;42;118;117;89
fervedouro;4;uf;767;38;220;108;375;328;357
figueirao;4;uf;2;0;1;0;1;1;1
figueiropolis;4;uf;601;15;122;54;398;176;243
figueiropolis doeste;4;uf;82;0;18;1;58;19;24
filadelfia;4;uf;381;21;99;29;203;128;143
flexeiras;3;uf;984;50;207;158;513;365;544
flor da serra do sul;4;uf;672;27;187;84;347;271;252
flor do sertao;4;uf;2;0;0;0;2;0;1
florania;4;uf;94;10;28;20;32;48;39
flores;4;uf;487;34;131;63;238;194;196
flores da cunha;4;uf;1;0;0;0;1;0;1
flores de goias;3;uf;827;61;229;104;403;333;303
floresta;4;uf;722;32;220;86;365;306;333
floresta do araguaia;4;uf;3;0;1;1;1;2;1
florestal;4;uf;445;12;136;62;220;198;235
floriano;5;uf;3240;87;820;587;1475;1407;1579
florianopolis;5;uf;10081;59;1900;418;7302;2318;4394
fontoura xavier;4;uf;1297;28;280;99;857;379;557
formigueiro;4;uf;8;0;3;0;5;3;3
formosa;5;uf;4808;231;1301;435;2639;1736;1775
formosa do rio preto;4;uf;339;41;89;27;170;116;151
formoso do araguaia;4;uf;308;17;110;62;113;172;130
forquetinha;4;uf;56;2;11;2;40;13;23
forquilha;4;uf;822;27;204;125;427;329;341
fortaleza;1;uf;23216;334;3509;1863;16017;5372;10489
fortaleza do tabocao;4;uf;820;43;185;72;502;257;351
fortaleza dos nogueiras;4;uf;2;0;0;2;0;2;1
foz do iguacu;1;uf;12582;142;3169;1001;7707;4170;5560
foz do jordao;4;uf;26;1;4;4;17;8;9
fraiburgo;4;uf;1;0;0;0;1;0;1
francisco alves;4;uf;321;10;62;28;201;90;125
francisco beltrao;4;uf;2;0;1;0;1;1;1
francisco macedo;4;uf;156;21;19;27;78;46;80
francisco sa;5;uf;3376;151;1004;317;1835;1321;1509
francisco santos;4;uf;171;28;33;23;80;56;74
frecheirinha;4;uf;206;25;35;30;95;65;104
frederico westphalen;3;uf;2564;56;677;169;1584;846;1166
frei inocencio;4;uf;544;27;136;68;296;204;251
frei paulo;4;uf;343;30;114;64;99;178;152
frei rogerio;4;uf;2;0;0;0;2;0;1
fronteira;3;uf;1508;56;471;150;776;621;604
fronteiras;4;uf;35;5;5;7;18;12;17
fruta de leite;4;uf;503;17;141;46;284;187;249
frutal;5;uf;3753;135;934;293;2313;1227;1809
fundao;3;uf;2789;78;460;291;1806;751;1222
gameleira;4;uf;322;26;64;41;161;105;167
gandu;3;uf;1178;43;267;131;679;398;561
garanhuns;5;uf;3784;188;917;526;1852;1443;1655
garibaldi;4;uf;599;11;163;41;357;204;229
garopaba;4;uf;589;15;186;64;314;250;289
garuva;3;uf;4189;64;850;152;2988;1002;2185
gaspar;5;uf;4688;89;1278;410;2757;1688;1987
gaurama;4;uf;5;0;3;0;2;3;2
gaviao;4;uf;275;26;69;32;140;101;105
geminiano;4;uf;261;29;73;42;101;115;130
general carneiro;5;uf;4038;147;1062;344;2391;1406;1852
general carneiro;5;uf;4038;147;1062;344;2391;1406;1852
gentil;4;uf;88;2;27;5;46;32;39
getulina;4;uf;521;13;148;44;302;192;240
gilbues;4;uf;59;13;15;7;20;22;18
gloria de dourados;4;uf;4;0;1;2;1;3;1
gloria doeste;4;uf;207;9;49;20;123;69;97
glorinha;3;uf;2012;30;533;97;1311;630;1116
goiana;3;uf;3090;77;549;227;2047;776;1532
goianapolis;3;uf;3294;30;800;278;2079;1078;1654
goianesia;4;uf;1;0;0;0;1;0;1
goiania;1;uf;17413;188;2821;1457;12158;4278;7798
goianinha;4;uf;1088;30;246;107;624;353;527
goias;4;uf;18;1;7;1;7;8;8
goiatuba;3;uf;1631;55;393;175;970;568;853
goio-ere;4;uf;239;26;63;45;96;108;114
goioere;4;uf;40;1;14;13;10;27;18
gongogi;4;uf;3;0;2;0;1;2;1
governador celso ramos;4;uf;99;2;30;9;51;39;49
governador dix-sept rosado;4;uf;135;5;41;24;48;65;62
governador edison lobao;3;uf;692;62;161;86;342;247;264
governador eugenio barros;4;uf;13;1;5;2;5;7;4
governador mangabeira;3;uf;1001;59;231;110;535;341;426
governador newton bello;4;uf;97;12;15;19;46;34;47
governador nunes freire;4;uf;69;8;8;14;32;22;29
governador valadares;1;uf;9521;200;2852;987;5266;3839;4380
grajau;4;uf;334;32;129;46;112;175;108
grao mogol;5;uf;2983;183;901;324;1481;1225;1399
gravata;5;uf;4443;103;962;457;2699;1419;2109
gravatai;3;uf;3813;70;742;142;2777;884;2009
guacui;4;uf;32;0;17;5;10;22;16
guadalupe;4;uf;34;2;5;12;10;17;12
guaiba;3;uf;3628;63;612;224;2624;836;1508
guaicara;4;uf;584;18;181;40;333;221;256
guaimbe;4;uf;297;10;88;26;167;114;134
guaira;3;uf;3441;29;321;100;2922;421;1185
guairaca;4;uf;415;19;118;39;219;157;167
guajara-mirim;4;uf;19;2;7;1;7;8;9
guamare;4;uf;182;25;42;40;64;82;82
guamiranga;4;uf;536;32;140;97;246;237;252
guapimirim;5;uf;5601;115;1200;393;3656;1593;2609
guapirama;4;uf;152;9;41;12;85;53;72
guapo;3;uf;1893;50;493;252;1042;745;975
guaraciaba;3;uf;1265;42;260;95;829;355;575
guarai;3;uf;1794;46;441;189;1055;630;782
guaramirim;5;uf;7862;59;2081;676;4900;2757;3536
guarani das missoes;4;uf;247;17;88;37;101;125;93
guarani de goias;4;uf;327;37;97;34;152;131;115
guaraniacu;3;uf;1990;77;524;206;1118;730;924
guaranta do norte;4;uf;544;39;158;93;227;251;268
guaranta do norte;4;uf;544;39;158;93;227;251;268
guarapari;5;uf;4584;192;1147;392;2685;1539;2064
guarapuava;5;uf;6276;211;1717;576;3576;2293;2789
guarara;4;uf;235;6;80;33;111;113;115
guararema;3;uf;1730;40;268;56;1280;324;896
guaratingueta;3;uf;3870;70;866;176;2576;1042;1901
guaratuba;1;uf;12525;151;2045;480;9588;2525;6962
guaruja do sul;4;uf;387;16;87;52;223;139;184
guarulhos;2;uf;40350;430;8282;1040;27409;9322;18109
guaxupe;4;uf;33;1;15;6;8;21;17
guia lopes da laguna;4;uf;598;18;134;64;366;198;261
guimarania;4;uf;351;13;92;25;205;117;168
gurinhata;4;uf;111;9;46;13;39;59;49
gurinhem;4;uf;995;26;265;129;540;394;520
gurjao;4;uf;1;0;0;0;1;0;1
gurupi;3;uf;2039;85;516;190;1190;706;923
herval doeste;4;uf;469;26;122;49;259;171;228
hidrolandia;3;uf;2604;50;602;259;1610;861;1312
hidrolina;4;uf;409;13;91;46;241;137;168
horizonte;3;uf;1818;80;401;276;896;677;798
hulha negra;4;uf;428;7;94;34;283;128;202
humaita;4;uf;376;19;129;48;159;177;149
humaita;4;uf;376;19;129;48;159;177;149
humberto de campos;4;uf;52;8;16;10;10;26;19
iati;4;uf;175;19;40;17;83;57;61
ibaiti;4;uf;790;28;213;84;438;297;345
ibaretama;4;uf;1;0;0;1;0;1;1
ibateguara;4;uf;103;19;16;34;27;50;46
ibatiba;3;uf;2834;86;762;461;1383;1223;1371
ibema;4;uf;602;39;146;72;322;218;258
ibia;3;uf;2293;74;644;192;1337;836;1082
ibiai;4;uf;2;0;1;0;1;1;2
ibicarai;4;uf;2;0;1;0;1;1;2
ibimirim;4;uf;225;25;47;53;76;100;112
ibipora;3;uf;2076;19;616;254;1100;870;931
ibiquera;4;uf;310;13;96;31;153;127;137
ibiracu;3;uf;3436;106;648;438;2095;1086;1540
ibirama;3;uf;3711;79;956;253;2337;1209;1704
ibirapitanga;3;uf;1591;119;438;190;761;628;763
ibirapua;4;uf;258;14;53;19;157;72;103
ibirapuita;4;uf;16;0;5;5;4;10;5
ibirataia;4;uf;16;0;7;0;8;7;5
ibiruba;4;uf;48;0;13;4;29;17;24
ibitiara;4;uf;757;30;197;54;452;251;296
ibotirama;4;uf;438;18;96;28;276;124;178
icapui;4;uf;21;0;7;1;13;8;10
icara;3;uf;2689;72;940;204;1392;1144;1457
icaraima;4;uf;26;1;6;0;19;6;9
icatu;4;uf;2;0;0;0;2;0;1
icem;4;uf;798;33;191;71;475;262;353
ico;3;uf;1160;57;226;187;645;413;515
iconha;3;uf;2375;42;499;181;1574;680;1090
ielmo marinho;4;uf;42;5;6;3;26;9;24
igaci;4;uf;31;2;11;2;14;13;11
igarape;3;uf;3371;41;776;177;2300;953;1746
igarape do meio;4;uf;422;21;84;62;241;146;211
igarape-acu;4;uf;60;4;9;14;28;23;23
igarassu;5;uf;7613;150;1213;519;5287;1732;3452
igaratinga;3;uf;1108;36;316;112;614;428;562
igreja nova;4;uf;21;0;1;1;19;2;10
iguaracu;4;uf;2;0;0;0;2;0;1
iguatemi;4;uf;1;0;0;0;1;0;1
ijui;3;uf;2296;36;521;136;1562;657;975
ilheus;4;uf;694;13;216;62;371;278;302
ilhota;3;uf;1579;42;413;148;911;561;645
imarui;4;uf;5;0;4;0;1;4;1
imbau;4;uf;986;40;220;99;588;319;460
imbe de minas;4;uf;4;0;0;2;2;2;1
imbituba;5;uf;4804;104;1373;470;2698;1843;2501
imbituva;3;uf;1157;64;348;139;554;487;568
imperatriz;1;uf;9739;183;2135;1003;5863;3138;4008
indaial;1;uf;10161;119;2753;864;6034;3617;4478
indaiatuba;4;uf;2;0;0;0;2;0;1
independencia;4;uf;40;3;31;5;1;36;4
indianopolis;4;uf;987;36;271;137;519;408;395
indiara;3;uf;1592;63;422;205;841;627;797
inga;4;uf;815;27;261;90;409;351;432
inhambupe;4;uf;501;57;177;73;164;250;228
inhapi;4;uf;421;27;103;88;181;191;147
inhapim;3;uf;1670;81;481;241;824;722;773
inhuma;4;uf;293;28;62;38;148;100;126
ipameri;4;uf;610;11;135;63;381;198;234
ipanema;4;uf;133;3;49;27;53;76;76
ipanguacu;4;uf;65;2;26;8;25;34;28
ipatinga;4;uf;132;0;46;14;71;60;68
